,ID,Score,Program
552,KUCAT_2019_290,528,design
553,KUCAT_2019_291,823,civil
554,KUCAT_2019_292,650,ce
555,KUCAT_2019_293,654,auto
556,KUCAT_2019_294,847,arch
557,KUCAT_2019_295,848,civil
558,KUCAT_2019_296,990,civil
559,KUCAT_2019_297,613,civil
560,KUCAT_2019_298,697,auto
561,KUCAT_2019_299,781,power
562,KUCAT_2019_300,922,auto
563,KUCAT_2019_301,670,civil
564,KUCAT_2019_302,648,arch
565,KUCAT_2019_303,756,power
566,KUCAT_2019_304,576,design
567,KUCAT_2019_305,965,civil
568,KUCAT_2019_306,840,civil
569,KUCAT_2019_307,825,ce
570,KUCAT_2019_264,798,arch
571,KUCAT_2019_265,1044,civil
572,KUCAT_2019_266,561,civil
573,KUCAT_2019_267,474,ce
574,KUCAT_2019_268,788,power
575,KUCAT_2019_269,891,arch
576,KUCAT_2019_270,546,ce
577,KUCAT_2019_271,773,civil
578,KUCAT_2019_272,745,civil
579,KUCAT_2019_273,869,communication
580,KUCAT_2019_274,580,ce
581,KUCAT_2019_275,925,civil
582,KUCAT_2019_276,855,ce
583,KUCAT_2019_277,736,civil
584,KUCAT_2019_278,651,arch
585,KUCAT_2019_279,874,auto
586,KUCAT_2019_280,722,civil
587,KUCAT_2019_281,819,communication
588,KUCAT_2019_282,955,civil
589,KUCAT_2019_283,751,ce
590,KUCAT_2019_284,723,pharma
591,KUCAT_2019_285,679,pharma
592,KUCAT_2019_286,678,ce
593,KUCAT_2019_287,880,communication
594,KUCAT_2019_288,482,ce
595,KUCAT_2019_289,667,pharma
596,KUCAT_2019_290,528,design
597,KUCAT_2019_291,823,civil
598,KUCAT_2019_292,650,ce
599,KUCAT_2019_293,654,auto
600,KUCAT_2019_294,847,arch
601,KUCAT_2019_295,848,civil
602,KUCAT_2019_296,990,civil
603,KUCAT_2019_297,613,civil
604,KUCAT_2019_298,697,auto
605,KUCAT_2019_299,781,power
606,KUCAT_2019_300,922,auto
607,KUCAT_2019_301,670,civil
608,KUCAT_2019_302,648,arch
609,KUCAT_2019_303,756,power
610,KUCAT_2019_304,576,design
611,KUCAT_2019_305,965,civil
612,KUCAT_2019_306,840,civil
613,KUCAT_2019_307,825,ce
614,KUCAT_2019_308,647,arch
615,KUCAT_2019_309,522,power
616,KUCAT_2019_310,612,power
617,KUCAT_2019_311,902,pharma
618,KUCAT_2019_312,1117,pharma
619,KUCAT_2019_313,855,ce
620,KUCAT_2019_314,714,ce
621,KUCAT_2019_315,799,ce
622,KUCAT_2019_316,1006,communication
623,KUCAT_2019_317,891,civil
624,KUCAT_2019_318,708,ce
625,KUCAT_2019_319,990,civil
626,KUCAT_2019_320,1092,arch
627,KUCAT_2019_321,730,arch
628,KUCAT_2019_322,1151,civil
629,KUCAT_2019_323,873,ce
630,KUCAT_2019_324,549,ce
631,KUCAT_2019_325,912,ce
632,KUCAT_2019_326,962,ce
633,KUCAT_2019_327,752,civil
634,KUCAT_2019_328,1167,ce
635,KUCAT_2019_329,566,ce
636,KUCAT_2019_330,1103,civil
637,KUCAT_2019_331,768,civil
638,KUCAT_2019_332,930,ce
639,KUCAT_2019_333,794,ce
640,KUCAT_2019_334,575,ce
641,KUCAT_2019_335,574,civil
642,KUCAT_2019_336,767,civil
643,KUCAT_2019_337,866,ce
644,KUCAT_2019_338,997,ce
645,KUCAT_2019_339,666,ce
646,KUCAT_2019_340,659,ce
647,KUCAT_2019_341,663,communication
648,KUCAT_2019_342,567,hydro
649,KUCAT_2019_343,728,ce
650,KUCAT_2019_344,662,civil
651,KUCAT_2019_345,966,ce
652,KUCAT_2019_346,535,civil
653,KUCAT_2019_347,750,hydro
654,KUCAT_2019_348,583,civil
655,KUCAT_2019_349,982,civil
656,KUCAT_2019_350,915,ce
657,KUCAT_2019_351,690,chem
658,KUCAT_2019_308,647,arch
659,KUCAT_2019_309,522,power
660,KUCAT_2019_310,612,power
661,KUCAT_2019_311,902,pharma
662,KUCAT_2019_312,1117,pharma
663,KUCAT_2019_313,855,ce
664,KUCAT_2019_314,714,ce
665,KUCAT_2019_315,799,ce
666,KUCAT_2019_316,1006,communication
667,KUCAT_2019_317,891,civil
668,KUCAT_2019_318,708,ce
669,KUCAT_2019_319,990,civil
670,KUCAT_2019_320,1092,arch
671,KUCAT_2019_321,730,arch
672,KUCAT_2019_322,1151,civil
673,KUCAT_2019_323,873,ce
674,KUCAT_2019_324,549,ce
675,KUCAT_2019_325,912,ce
676,KUCAT_2019_326,962,ce
677,KUCAT_2019_327,752,civil
678,KUCAT_2019_328,1167,ce
679,KUCAT_2019_329,566,ce
680,KUCAT_2019_330,1103,civil
681,KUCAT_2019_331,768,civil
682,KUCAT_2019_332,930,ce
683,KUCAT_2019_333,794,ce
684,KUCAT_2019_334,575,ce
685,KUCAT_2019_335,574,civil
686,KUCAT_2019_336,767,civil
687,KUCAT_2019_337,866,ce
688,KUCAT_2019_338,997,ce
689,KUCAT_2019_339,666,ce
690,KUCAT_2019_340,659,ce
691,KUCAT_2019_341,663,communication
692,KUCAT_2019_342,567,hydro
