Year,ID,Exam Type,Score,Program
2019,KUCAT_2019_176,KUCAT-PCM,513,Arch
2019,KUCAT_2019_177,KUCAT-PCM,951,CE
2019,KUCAT_2019_178,KUCAT-PCM,752,Geo
2019,KUCAT_2019_179,KUCAT-PCM,479,Design
2019,KUCAT_2019_180,KUCAT-PCB,475,Pharma
2019,KUCAT_2019_181,KUCAT-PCM,707,CE
2019,KUCAT_2019_182,KUCAT-PCM,780,Arch
2019,KUCAT_2019_183,KUCAT-PCM,715,CE
2019,KUCAT_2019_184,KUCAT-PCM,741,CS
2019,KUCAT_2019_185,KUCAT-PCM,801,Civil
2019,KUCAT_2019_186,KUCAT-PCM,1064,CE
2019,KUCAT_2019_187,KUCAT-PCM,864,Hydro
2019,KUCAT_2019_188,KUCAT-PCM,712,CE
2019,KUCAT_2019_189,KUCAT-PCM,756,Civil
2019,KUCAT_2019_190,KUCAT-PCB,560,Bio
2019,KUCAT_2019_191,KUCAT-PCM,686,Civil
2019,KUCAT_2019_192,KUCAT-PCM,881,CE
2019,KUCAT_2019_193,KUCAT-PCB,489,Pharma
2019,KUCAT_2019_194,KUCAT-PCM,671,Civil
2019,KUCAT_2019_195,KUCAT-PCM,945,CS
2019,KUCAT_2019_196,KUCAT-PCM,774,CE
2019,KUCAT_2019_197,KUCAT-PCM,851,Arch
2019,KUCAT_2019_198,KUCAT-PCM,462,Energy
2019,KUCAT_2019_199,KUCAT-PCB,675,Pharma
2019,KUCAT_2019_200,KUCAT-PCB,497,Bio
2019,KUCAT_2019_201,KUCAT-PCM,815,Civil
2019,KUCAT_2019_202,KUCAT-PCM,773,Civil
2019,KUCAT_2019_203,KUCAT-PCM,837,Communication
2019,KUCAT_2019_204,KUCAT-PCM,699,Civil
2019,KUCAT_2019_205,KUCAT-PCM,494,Civil
2019,KUCAT_2019_206,KUCAT-PCM,725,CE
2019,KUCAT_2019_207,KUCAT-PCM,496,Civil
2019,KUCAT_2019_208,KUCAT-PCM,707,Geo
2019,KUCAT_2019_209,KUCAT-PCM,888,Chem
2019,KUCAT_2019_210,KUCAT-PCM,501,CE
2019,KUCAT_2019_211,KUCAT-PCM,884,Auto
2019,KUCAT_2019_212,KUCAT-PCM,1117,Civil
2019,KUCAT_2019_213,KUCAT-PCM,490,CE
2019,KUCAT_2019_214,KUCAT-PCM,886,Design
2019,KUCAT_2019_215,KUCAT-PCB,697,Pharma
2019,KUCAT_2019_216,KUCAT-PCM,961,Civil
2019,KUCAT_2019_217,KUCAT-PCM,670,Communication
2019,KUCAT_2019_218,KUCAT-PCM,654,Arch
2019,KUCAT_2019_219,KUCAT-PCM,824,Civil
2019,KUCAT_2019_220,KUCAT-PCM,595,Civil
2019,KUCAT_2019_221,KUCAT-PCM,478,CE
